Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
10/1/97,"1,066","3,992","8,016",955,"7,522","2,008",896,239
11/1/97,"1,071","4,015","7,442",915,"6,949","1,854",854,228
12/1/97,"1,072","4,033","8,013",975,"7,473","1,987",909,242
1/1/98,"1,074","4,056","7,908",970,"7,363","1,950",903,239
2/1/98,"1,078","4,089","7,907",980,"7,336","1,934",909,240
3/1/98,"1,077","4,114","8,546","1,049","7,935","2,077",974,255
4/1/98,"1,077","4,140","8,868","1,108","8,238","2,142","1,029",268
5/1/98,"1,079","4,164","9,147","1,121","8,477","2,196","1,039",269
6/1/98,"1,076","4,184","8,922","1,091","8,290","2,132","1,014",261
7/1/98,"1,075","4,204","9,049","1,149","8,417","2,152","1,069",273
8/1/98,"1,076","4,229","8,883","1,121","8,257","2,101","1,042",265
9/1/98,"1,080","4,268","7,827",994,"7,248","1,834",920,233
10/1/98,"1,086","4,308","7,633",986,"7,028","1,772",908,229
11/1/98,"1,095","4,347","8,592","1,099","7,847","1,977","1,004",253
12/1/98,"1,095","4,376","9,134","1,175","8,341","2,087","1,073",269
1/1/99,"1,098","4,403","9,181","1,229","8,361","2,085","1,119",279
2/1/99,"1,097","4,426","9,346","1,273","8,522","2,112","1,161",288
3/1/99,"1,097","4,433","9,325","1,236","8,503","2,104","1,127",279
4/1/99,"1,102","4,461","9,833","1,294","8,926","2,204","1,175",290
5/1/99,"1,104","4,486","10,789","1,335","9,774","2,405","1,209",298
6/1/99,"1,100","4,508","10,596","1,294","9,635","2,351","1,177",287
7/1/99,"1,099","4,535","11,066","1,381","10,069","2,440","1,256",304
8/1/99,"1,099","4,553","10,655","1,329","9,694","2,340","1,209",292
9/1/99,"1,097","4,569","10,938","1,331","9,975","2,394","1,214",291
10/1/99,"1,103","4,593","10,273","1,283","9,311","2,237","1,163",279
11/1/99,"1,111","4,612","10,649","1,354","9,587","2,309","1,219",294
12/1/99,"1,122","4,639","10,998","1,398","9,801","2,371","1,246",301
1/1/00,"1,122","4,668","11,497","1,469","10,246","2,463","1,309",315
2/1/00,"1,109","4,681","11,041","1,409","9,959","2,359","1,271",301
3/1/00,"1,108","4,712","10,138","1,379","9,154","2,152","1,245",293
4/1/00,"1,116","4,768","10,922","1,499","9,790","2,291","1,344",314
5/1/00,"1,105","4,756","10,812","1,468","9,785","2,273","1,329",309
6/1/00,"1,103","4,774","10,652","1,449","9,661","2,231","1,314",304
7/1/00,"1,104","4,791","10,448","1,455","9,468","2,181","1,319",304
8/1/00,"1,100","4,820","10,607","1,438","9,641","2,201","1,307",298
9/1/00,"1,100","4,855","11,239","1,521","10,220","2,315","1,383",313
10/1/00,"1,099","4,871","10,651","1,437","9,694","2,186","1,308",295
11/1/00,"1,092","4,883","10,899","1,421","9,978","2,232","1,301",291
12/1/00,"1,089","4,928","10,374","1,315","9,529","2,105","1,208",267
1/1/01,"1,097","4,978","10,788","1,320","9,837","2,167","1,204",265
2/1/01,"1,101","5,017","10,984","1,374","9,974","2,189","1,248",274
3/1/01,"1,109","5,075","10,450","1,241","9,424","2,059","1,119",245
4/1/01,"1,117","5,139","9,879","1,160","8,846","1,922","1,039",226
5/1/01,"1,119","5,137","10,898","1,266","9,744","2,121","1,132",246
6/1/01,"1,126","5,180","10,990","1,261","9,759","2,122","1,120",243
7/1/01,"1,139","5,210","10,502","1,224","9,222","2,016","1,075",235
8/1/01,"1,150","5,244","10,510","1,216","9,138","2,004","1,057",232
9/1/01,"1,206","5,355","9,950","1,134","8,252","1,858",941,212
10/1/01,"1,166","5,344","8,837","1,039","7,581","1,654",891,194
11/1/01,"1,171","5,388","9,264","1,084","7,911","1,719",926,201
12/1/01,"1,183","5,441","9,852","1,139","8,326","1,811",963,209
1/1/02,"1,191","5,461","10,022","1,148","8,417","1,835",964,210
2/1/02,"1,191","5,490","9,907","1,122","8,321","1,804",942,204
3/1/02,"1,193","5,502","10,369","1,132","8,689","1,884",949,206
4/1/02,"1,187","5,502","10,363","1,147","8,731","1,883",966,208
5/1/02,"1,189","5,529","10,060","1,087","8,458","1,820",914,197
6/1/02,"1,193","5,554","9,925","1,067","8,317","1,787",894,192
7/1/02,"1,199","5,596","9,110",969,"7,597","1,628",808,173
8/1/02,"1,187","5,638","8,507",885,"7,166","1,509",746,157
9/1/02,"1,196","5,663","8,664",916,"7,243","1,530",766,162
10/1/02,"1,204","5,707","7,939",848,"6,594","1,391",704,149
11/1/02,"1,210","5,758","8,518",901,"7,042","1,479",745,156
12/1/02,"1,220","5,780","8,896",936,"7,291","1,539",767,162
1/1/03,"1,227","5,812","8,342",880,"6,797","1,435",717,151
2/1/03,"1,238","5,848","8,054",856,"6,504","1,377",691,146
3/1/03,"1,239","5,869","7,891",841,"6,367","1,345",679,143
4/1/03,"1,250","5,906","8,070",859,"6,456","1,366",687,145
5/1/03,"1,269","5,966","8,454",916,"6,663","1,417",722,154
6/1/03,"1,281","6,002","8,850",964,"6,909","1,474",753,161
7/1/03,"1,288","6,049","9,041",982,"7,022","1,495",763,162
8/1/03,"1,296","6,107","9,154",980,"7,061","1,499",756,160
9/1/03,"1,297","6,080","9,416","1,008","7,259","1,549",777,166
10/1/03,"1,298","6,070","9,469","1,018","7,296","1,560",784,168
11/1/03,"1,299","6,076","9,801","1,051","7,545","1,613",809,173
12/1/03,"1,306","6,074","9,899","1,070","7,579","1,630",819,176
1/1/04,"1,306","6,082","10,454","1,112","8,005","1,719",851,183
2/1/04,"1,321","6,122","10,488","1,131","7,937","1,713",856,185
3/1/04,"1,329","6,158","10,678","1,156","8,037","1,734",870,188
