Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
1/31/00,338252,1986266,4121606,4713205,6836,"20,209","3,441","1,658","1,450"
2/29/00,338177,1987628,4136412,4735956,7645,"22,605","3,846","1,848","1,614"
3/31/00,338104,2003675,4149339,4766006,7599,"22,476","3,793","1,831","1,594"
4/30/00,338077,2022293,4174322,4802801,7415,"21,932","3,666","1,776","1,544"
5/31/00,339633,2005841,4168507,4795425,7110,"20,933","3,544","1,706","1,483"
6/30/00,339702,2001262,4171277,4788838,6898,"20,307","3,447","1,654","1,440"
7/31/00,338861,2011982,4183450,4803137,7190,"21,219","3,574","1,719","1,497"
8/31/00,338998,2022187,4209465,4828781,7216,"21,288","3,569","1,714","1,494"
9/30/00,340027,2015210,4212330,4830524,6798,"19,993","3,373","1,614","1,407"
10/31/00,340479,2022687,4225858,4847849,7077,"20,787","3,499","1,675","1,460"
11/30/00,338400,2019092,4226830,4851550,6372,"18,831","3,156","1,508","1,313"
12/31/00,338222,2025182,4226952,4859203,6434,"19,022","3,177","1,522","1,324"
1/31/01,341715,2094231,4340387,5024537,6795,"19,885","3,245","1,566","1,352"
2/28/01,341389,2104954,4363192,5049678,6208,"18,185","2,949","1,423","1,229"
3/31/01,338758,2106179,4382791,5079966,5830,"17,210","2,768","1,330","1,148"
4/30/01,337223,2124789,4412550,5111811,6265,"18,577","2,948","1,420","1,225"
5/31/01,332581,2142955,4429759,5142003,6123,"18,411","2,857","1,382","1,191"
6/30/01,330236,2158667,4467986,5192173,6058,"18,346","2,807","1,356","1,167"
7/31/01,324137,2157872,4481145,5214090,5861,"18,082","2,716","1,308","1,124"
8/31/01,318925,2173000,4501923,5249306,5188,"16,268","2,388","1,152",988
9/30/01,309476,2190698,4533918,5296229,4308,"13,921","1,967",950,813
10/31/01,298029,2202764,4553696,5334043,4559,"15,298","2,070","1,001",855
11/30/01,280120,2220198,4588671,5371237,4990,"17,813","2,248","1,087",929
12/31/01,233960,2221922,4615510,5402883,5160,"22,055","2,322","1,118",955
1/31/02,249531,2247196,4645232,5424797,5108,"20,469","2,273","1,100",942
